id,qualifica,titolo,testo,periodo,perimetro,fonti,calcolo,limiti
F14,calculated,Musei: un’incoerenza nel comunicato ufficiale,"Il titolo del comunicato MiC del 10 maggio 2025 riporta 328 milioni di introiti, mentre il corpo indica 382.004.344 euro. Il comunicato del 17 novembre conferma circa 382 milioni lordi.",Dati 2024; comunicati 2025,Comunicazione statistica dei musei statali,S10|S11,,"È una discordanza di pubblicazione, non un ammanco di 54 milioni."
F15,calculated,"Musei: la crescita ricavata dagli importi è 21,7%","Con 382.004.344 euro per il 2024 e 313.888.163 per il 2023, la crescita è circa il 21,7%, non il 23% dichiarato nello stesso comunicato.",2023-2024,Introiti riportati nel primo comunicato MiC,S10,C04,Il ricalcolo verifica la coerenza interna del comunicato; non certifica il registro contabile di ogni museo.
F16,documented,Nidi: il problema principale è il divario territoriale,"Nel 2023/2024 i posti autorizzati sono 31,6 ogni cento bambini di 0-2 anni in Italia; 19,0 nel Sud e 40,4 nel Centro. La misura comprende offerta pubblica e privata.",2023/2024,Posti autorizzati per residenti 0-2 anni,S06,,Disponibilità non è frequenza; il calo dei bambini contribuisce al miglioramento del rapporto.
F17,calculated,"Nidi: distanza Centro-Sud di 21,4 punti","La differenza fra 40,4 e 19,0 posti ogni cento bambini è 21,4 punti. Il Sud resta 12,6 punti sotto la media nazionale.",2023/2024,"Rapporto posti/bambini, non quota di spesa",S06,C05,"Differenza di offerta autorizzata, non di frequenza effettiva."
F18,documented,Scuola: risultati non uniformi,"La sintesi SDGs segnala un peggioramento delle competenze di base in italiano e matematica nel 2024/2025, ma un miglioramento in inglese. L’abbandono precoce scende all’8,2% nel 2025.",2024/2025 e 2025,Indicatori nazionali di apprendimento e istruzione,S05,,Sono indicatori distinti; non dimostrano l’effetto di una singola misura o della spesa complessiva.
F19,documented,Protezione sociale: bisogni molto diversi per età,"Nel 2024 la povertà assoluta interessa circa 5,7 milioni di persone, il 9,8% dei residenti. L’incidenza è il 13,8% tra i minori e il 6,4% tra gli over 65.",2024,"Persone, indagine sulla povertà assoluta",S07,,L’indicatore è sostanzialmente stabile. Le differenze per età non dimostrano che le pensioni siano uno spreco.
F20,documented,Esiste anche evidenza di miglioramento sociale,"La quota a rischio di povertà o esclusione sociale scende al 22,6% nel 2025 secondo Istat.",2025,"AROPE, indicatore diverso dalla povertà assoluta",S05,,"Non confrontare direttamente il 22,6% con il 9,8%: definizioni e periodi non coincidono."
F21,documented,Acquisti vicino alla soglia: un fenomeno su scala nazionale,"ANAC segnala 13.879 acquisizioni di servizi e forniture nella fascia 135.000-140.000 euro nel 2025, contro 1.549 nel 2021.",2021 e 2025,Fascia d’importo indicata dalla relazione ANAC,S13,,Sono cambiati il quadro delle soglie e il sistema informativo: il confronto grezzo non identifica da solo la causa.
F22,calculated,Quasi nove volte le acquisizioni nella fascia osservata,"13.879 diviso 1.549 equivale a circa 8,96 volte; l’aumento assoluto è di 12.330 acquisizioni. Non è un tasso di frode.",2021 e 2025,Confronto descrittivo dei due conteggi ANAC,S13,C06,Non moltiplicare il numero di acquisizioni per la soglia e chiamare il risultato spreco.
F23,documented,Trasporti locali: resta una difficoltà diffusa di accesso,"Nel 2025 il 34,0% delle famiglie dichiara difficoltà di collegamento con i mezzi pubblici. Il dato è in lieve miglioramento rispetto al 2024.",2025,"Indagine sulle famiglie, non costo delle aziende di trasporto",S05,,"Indicatore dichiarato dalle famiglie, non misura contabile né attribuzione di responsabilità."
